,2025,2030
1.Population_Grid,143856406.8385048,251132837.07986832
1.Population_SA_Diesel,0,0
1.Population_SA_PV,0,12932724.858355522
1.Population_MG_Diesel,0,0
1.Population_MG_PV,0,0
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,0,1968.0581130981445
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,38083906.88997571,107276430.24136353
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,0,12932724.858355522
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,0,0
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,0,1968.0581130981445
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,1137067.5541924026,3202942.0854702457
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,0,1311462.4086239317
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,0,0
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,0,103.91263726794264
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,5001018860.51062,20199930820.063747
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,0,4094385639.722706
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,0,0
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,0,581091.9119648925
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,8.00083065032959,8.332050323486328
Max_cluster_pop_2030,2207544.0,2680242.0
Min_cluster_area,0.0089999996125698,0.0089999996125698
Max_cluster_area,189.98199462890625,189.98199462890625
Min_existing_grid_dist,0.0,0.0
Max_existing_grid_dist,131.0,131.0
Min_road_dist,0.0,0.0
Max_road_dist,67.64299774169922,67.64299774169922
Min_investment_capita_cost,82.83613928001104,82.83613928001097
Max_investment_capita_cost,684.1227749541762,717.667166160157
